,Task,Granularity,Complexity,Trial,Individual,Performance
40,Hard-to-easy,1,3,0,Open,1.0
41,Hard-to-easy,1,3,0,Conservative ,0.36884
42,Hard-to-easy,1,3,1,Open,1.0
43,Hard-to-easy,1,3,1,Conservative ,0.374906
44,Hard-to-easy,1,3,2,Open,1.0
45,Hard-to-easy,1,3,2,Conservative ,0.27826399999999996
46,Hard-to-easy,1,3,3,Open,1.0
47,Hard-to-easy,1,3,3,Conservative ,0.30737
48,Hard-to-easy,1,3,4,Open,1.0
49,Hard-to-easy,1,3,4,Conservative ,0.30589799999999995
50,Hard-to-easy,1,3,5,Open,1.0
51,Hard-to-easy,1,3,5,Conservative ,0.32281999999999994
52,Hard-to-easy,1,3,6,Open,1.0
53,Hard-to-easy,1,3,6,Conservative ,0.30689199999999994
54,Hard-to-easy,1,3,7,Open,1.0
55,Hard-to-easy,1,3,7,Conservative ,0.32120599999999994
56,Hard-to-easy,1,3,8,Open,1.0
57,Hard-to-easy,1,3,8,Conservative ,0.29513999999999996
58,Hard-to-easy,1,3,9,Open,1.0
59,Hard-to-easy,1,3,9,Conservative ,0.3353400000000001
60,Hard-to-easy,1,4,0,Open,1.0
61,Hard-to-easy,1,4,0,Conservative ,0.28245400000000026
62,Hard-to-easy,1,4,1,Open,1.0
63,Hard-to-easy,1,4,1,Conservative ,0.2874580000000003
64,Hard-to-easy,1,4,2,Open,1.0
65,Hard-to-easy,1,4,2,Conservative ,0.3442600000000004
66,Hard-to-easy,1,4,3,Open,1.0
67,Hard-to-easy,1,4,3,Conservative ,0.2972860000000002
68,Hard-to-easy,1,4,4,Open,1.0
69,Hard-to-easy,1,4,4,Conservative ,0.28412200000000026
70,Hard-to-easy,1,4,5,Open,1.0
71,Hard-to-easy,1,4,5,Conservative ,0.3572340000000004
72,Hard-to-easy,1,4,6,Open,1.0
73,Hard-to-easy,1,4,6,Conservative ,0.28726800000000036
74,Hard-to-easy,1,4,7,Open,1.0
75,Hard-to-easy,1,4,7,Conservative ,0.32332600000000034
76,Hard-to-easy,1,4,8,Open,1.0
77,Hard-to-easy,1,4,8,Conservative ,0.32804800000000045
78,Hard-to-easy,1,4,9,Open,1.0
79,Hard-to-easy,1,4,9,Conservative ,0.34750400000000037
80,Hard-to-easy,1,5,0,Open,1.0
81,Hard-to-easy,1,5,0,Conservative ,0.457706
82,Hard-to-easy,1,5,1,Open,1.0
83,Hard-to-easy,1,5,1,Conservative ,0.369122
84,Hard-to-easy,1,5,2,Open,1.0
85,Hard-to-easy,1,5,2,Conservative ,0.349474
86,Hard-to-easy,1,5,3,Open,1.0
87,Hard-to-easy,1,5,3,Conservative ,0.3839240000000001
88,Hard-to-easy,1,5,4,Open,1.0
89,Hard-to-easy,1,5,4,Conservative ,0.37709000000000004
90,Hard-to-easy,1,5,5,Open,1.0
91,Hard-to-easy,1,5,5,Conservative ,0.3580439999999999
92,Hard-to-easy,1,5,6,Open,1.0
93,Hard-to-easy,1,5,6,Conservative ,0.35744200000000004
94,Hard-to-easy,1,5,7,Open,1.0
95,Hard-to-easy,1,5,7,Conservative ,0.425702
96,Hard-to-easy,1,5,8,Open,1.0
97,Hard-to-easy,1,5,8,Conservative ,0.38852800000000004
98,Hard-to-easy,1,5,9,Open,1.0
99,Hard-to-easy,1,5,9,Conservative ,0.364734
100,Hard-to-easy,1,6,0,Open,1.0
101,Hard-to-easy,1,6,0,Conservative ,0.33041000000000004
102,Hard-to-easy,1,6,1,Open,1.0
103,Hard-to-easy,1,6,1,Conservative ,0.3676660000000001
104,Hard-to-easy,1,6,2,Open,1.0
105,Hard-to-easy,1,6,2,Conservative ,0.3815020000000002
106,Hard-to-easy,1,6,3,Open,1.0
107,Hard-to-easy,1,6,3,Conservative ,0.355004
108,Hard-to-easy,1,6,4,Open,1.0
109,Hard-to-easy,1,6,4,Conservative ,0.44634800000000013
110,Hard-to-easy,1,6,5,Open,1.0
111,Hard-to-easy,1,6,5,Conservative ,0.3216840000000001
112,Hard-to-easy,1,6,6,Open,1.0
113,Hard-to-easy,1,6,6,Conservative ,0.35221600000000003
114,Hard-to-easy,1,6,7,Open,1.0
115,Hard-to-easy,1,6,7,Conservative ,0.282298
116,Hard-to-easy,1,6,8,Open,1.0
117,Hard-to-easy,1,6,8,Conservative ,0.335998
118,Hard-to-easy,1,6,9,Open,1.0
119,Hard-to-easy,1,6,9,Conservative ,0.29191999999999996
120,Hard-to-easy,1,7,0,Open,1.0
121,Hard-to-easy,1,7,0,Conservative ,0.314482
122,Hard-to-easy,1,7,1,Open,1.0
123,Hard-to-easy,1,7,1,Conservative ,0.36145800000000006
124,Hard-to-easy,1,7,2,Open,1.0
125,Hard-to-easy,1,7,2,Conservative ,0.29191999999999996
126,Hard-to-easy,1,7,3,Open,1.0
127,Hard-to-easy,1,7,3,Conservative ,0.32311
128,Hard-to-easy,1,7,4,Open,1.0
129,Hard-to-easy,1,7,4,Conservative ,0.331306
130,Hard-to-easy,1,7,5,Open,1.0
131,Hard-to-easy,1,7,5,Conservative ,0.35452600000000006
132,Hard-to-easy,1,7,6,Open,1.0
133,Hard-to-easy,1,7,6,Conservative ,0.320548
134,Hard-to-easy,1,7,7,Open,1.0
135,Hard-to-easy,1,7,7,Conservative ,0.36704600000000015
136,Hard-to-easy,1,7,8,Open,1.0
137,Hard-to-easy,1,7,8,Conservative ,0.320548
138,Hard-to-easy,1,7,9,Open,1.0
139,Hard-to-easy,1,7,9,Conservative ,0.33955399999999997
140,Hard-to-easy,1,8,0,Open,1.0
141,Hard-to-easy,1,8,0,Conservative ,0.2970960000000003
142,Hard-to-easy,1,8,1,Open,1.0
143,Hard-to-easy,1,8,1,Conservative ,0.3134060000000003
144,Hard-to-easy,1,8,2,Open,1.0
145,Hard-to-easy,1,8,2,Conservative ,0.35733200000000037
146,Hard-to-easy,1,8,3,Open,1.0
147,Hard-to-easy,1,8,3,Conservative ,0.3459340000000004
148,Hard-to-easy,1,8,4,Open,1.0
149,Hard-to-easy,1,8,4,Conservative ,0.3833680000000005
150,Hard-to-easy,1,8,5,Open,1.0
151,Hard-to-easy,1,8,5,Conservative ,0.40292600000000045
152,Hard-to-easy,1,8,6,Open,1.0
153,Hard-to-easy,1,8,6,Conservative ,0.3607660000000005
154,Hard-to-easy,1,8,7,Open,1.0
155,Hard-to-easy,1,8,7,Conservative ,0.30043200000000025
156,Hard-to-easy,1,8,8,Open,1.0
157,Hard-to-easy,1,8,8,Conservative ,0.32795000000000035
158,Hard-to-easy,1,8,9,Open,1.0
159,Hard-to-easy,1,8,9,Conservative ,0.3311940000000003
160,Hard-to-easy,1,9,0,Open,1.0
161,Hard-to-easy,1,9,0,Conservative ,0.41214200000000006
162,Hard-to-easy,1,9,1,Open,1.0
163,Hard-to-easy,1,9,1,Conservative ,0.390048
164,Hard-to-easy,1,9,2,Open,1.0
165,Hard-to-easy,1,9,2,Conservative ,0.38792600000000005
166,Hard-to-easy,1,9,3,Open,1.0
167,Hard-to-easy,1,9,3,Conservative ,0.36700000000000005
168,Hard-to-easy,1,9,4,Open,1.0
169,Hard-to-easy,1,9,4,Conservative ,0.35464399999999996
170,Hard-to-easy,1,9,5,Open,1.0
171,Hard-to-easy,1,9,5,Conservative ,0.37539
172,Hard-to-easy,1,9,6,Open,1.0
173,Hard-to-easy,1,9,6,Conservative ,0.39291600000000004
174,Hard-to-easy,1,9,7,Open,1.0
175,Hard-to-easy,1,9,7,Conservative ,0.37461600000000006
176,Hard-to-easy,1,9,8,Open,1.0
177,Hard-to-easy,1,9,8,Conservative ,0.39405
178,Hard-to-easy,1,9,9,Open,1.0
179,Hard-to-easy,1,9,9,Conservative ,0.462274
180,Hard-to-easy,1,10,0,Open,1.0
181,Hard-to-easy,1,10,0,Conservative ,0.311404
182,Hard-to-easy,1,10,1,Open,1.0
183,Hard-to-easy,1,10,1,Conservative ,0.39681000000000005
184,Hard-to-easy,1,10,2,Open,1.0
185,Hard-to-easy,1,10,2,Conservative ,0.3646260000000001
186,Hard-to-easy,1,10,3,Open,1.0
187,Hard-to-easy,1,10,3,Conservative ,0.34069000000000005
188,Hard-to-easy,1,10,4,Open,1.0
189,Hard-to-easy,1,10,4,Conservative ,0.296612
190,Hard-to-easy,1,10,5,Open,1.0
191,Hard-to-easy,1,10,5,Conservative ,0.287228
192,Hard-to-easy,1,10,6,Open,1.0
193,Hard-to-easy,1,10,6,Conservative ,0.340032
194,Hard-to-easy,1,10,7,Open,1.0
195,Hard-to-easy,1,10,7,Conservative ,0.3683620000000001
196,Hard-to-easy,1,10,8,Open,1.0
197,Hard-to-easy,1,10,8,Conservative ,0.28247799999999995
198,Hard-to-easy,1,10,9,Open,1.0
199,Hard-to-easy,1,10,9,Conservative ,0.35335200000000017
200,Hard-to-easy,1,11,0,Open,1.0
201,Hard-to-easy,1,11,0,Conservative ,0.32571799999999995
202,Hard-to-easy,1,11,1,Open,1.0
203,Hard-to-easy,1,11,1,Conservative ,0.3813600000000001
204,Hard-to-easy,1,11,2,Open,1.0
205,Hard-to-easy,1,11,2,Conservative ,0.361502
206,Hard-to-easy,1,11,3,Open,1.0
207,Hard-to-easy,1,11,3,Conservative ,0.32589799999999997
208,Hard-to-easy,1,11,4,Open,1.0
209,Hard-to-easy,1,11,4,Conservative ,0.38315400000000016
210,Hard-to-easy,1,11,5,Open,1.0
211,Hard-to-easy,1,11,5,Conservative ,0.3294539999999999
212,Hard-to-easy,1,11,6,Open,1.0
213,Hard-to-easy,1,11,6,Conservative ,0.3646260000000001
214,Hard-to-easy,1,11,7,Open,1.0
215,Hard-to-easy,1,11,7,Conservative ,0.303336
216,Hard-to-easy,1,11,8,Open,1.0
217,Hard-to-easy,1,11,8,Conservative ,0.3594560000000002
218,Hard-to-easy,1,11,9,Open,1.0
219,Hard-to-easy,1,11,9,Conservative ,0.3693180000000001
220,Hard-to-easy,1,12,0,Open,1.0
221,Hard-to-easy,1,12,0,Conservative ,0.34269000000000027
222,Hard-to-easy,1,12,1,Open,1.0
223,Hard-to-easy,1,12,1,Conservative ,0.30997200000000036
224,Hard-to-easy,1,12,2,Open,1.0
225,Hard-to-easy,1,12,2,Conservative ,0.3363000000000004
226,Hard-to-easy,1,12,3,Open,1.0
227,Hard-to-easy,1,12,3,Conservative ,0.3459340000000004
228,Hard-to-easy,1,12,4,Open,1.0
229,Hard-to-easy,1,12,4,Conservative ,0.3346280000000003
230,Hard-to-easy,1,12,5,Open,1.0
231,Hard-to-easy,1,12,5,Conservative ,0.3165520000000003
232,Hard-to-easy,1,12,6,Open,1.0
233,Hard-to-easy,1,12,6,Conservative ,0.31192800000000037
234,Hard-to-easy,1,12,7,Open,1.0
235,Hard-to-easy,1,12,7,Conservative ,0.3785540000000004
236,Hard-to-easy,1,12,8,Open,1.0
237,Hard-to-easy,1,12,8,Conservative ,0.3475040000000004
238,Hard-to-easy,1,12,9,Open,1.0
239,Hard-to-easy,1,12,9,Conservative ,0.3556640000000004
240,Hard-to-easy,1,13,0,Open,1.0
241,Hard-to-easy,1,13,0,Conservative ,0.38147800000000004
242,Hard-to-easy,1,13,1,Open,1.0
243,Hard-to-easy,1,13,1,Conservative ,0.40223200000000003
244,Hard-to-easy,1,13,2,Open,1.0
245,Hard-to-easy,1,13,2,Conservative ,0.39291600000000004
246,Hard-to-easy,1,13,3,Open,1.0
247,Hard-to-easy,1,13,3,Conservative ,0.43197
248,Hard-to-easy,1,13,4,Open,1.0
249,Hard-to-easy,1,13,4,Conservative ,0.4092740000000001
250,Hard-to-easy,1,13,5,Open,1.0
251,Hard-to-easy,1,13,5,Conservative ,0.36869999999999997
252,Hard-to-easy,1,13,6,Open,1.0
253,Hard-to-easy,1,13,6,Conservative ,0.389876
254,Hard-to-easy,1,13,7,Open,1.0
255,Hard-to-easy,1,13,7,Conservative ,0.419434
256,Hard-to-easy,1,13,8,Open,1.0
257,Hard-to-easy,1,13,8,Conservative ,0.37270200000000003
258,Hard-to-easy,1,13,9,Open,1.0
259,Hard-to-easy,1,13,9,Conservative ,0.41596399999999994
260,Hard-to-easy,1,14,0,Open,1.0
261,Hard-to-easy,1,14,0,Conservative ,0.3523960000000001
262,Hard-to-easy,1,14,1,Open,1.0
263,Hard-to-easy,1,14,1,Conservative ,0.37221600000000016
264,Hard-to-easy,1,14,2,Open,1.0
265,Hard-to-easy,1,14,2,Conservative ,0.34293000000000007
266,Hard-to-easy,1,14,3,Open,1.0
267,Hard-to-easy,1,14,3,Conservative ,0.32168399999999997
268,Hard-to-easy,1,14,4,Open,1.0
269,Hard-to-easy,1,14,4,Conservative ,0.31603599999999993
270,Hard-to-easy,1,14,5,Open,1.0
271,Hard-to-easy,1,14,5,Conservative ,0.300168
272,Hard-to-easy,1,14,6,Open,1.0
273,Hard-to-easy,1,14,6,Conservative ,0.301782
274,Hard-to-easy,1,14,7,Open,1.0
275,Hard-to-easy,1,14,7,Conservative ,0.3641100000000001
276,Hard-to-easy,1,14,8,Open,1.0
277,Hard-to-easy,1,14,8,Conservative ,0.300168
278,Hard-to-easy,1,14,9,Open,1.0
279,Hard-to-easy,1,14,9,Conservative ,0.358082
280,Hard-to-easy,2,1,0,Open,1.0
281,Hard-to-easy,2,1,0,Conservative ,0.8618299999999997
282,Hard-to-easy,2,1,1,Open,1.0
283,Hard-to-easy,2,1,1,Conservative ,0.8615359999999996
284,Hard-to-easy,2,1,2,Open,1.0
285,Hard-to-easy,2,1,2,Conservative ,0.8736279999999995
286,Hard-to-easy,2,1,3,Open,1.0
287,Hard-to-easy,2,1,3,Conservative ,0.8696039999999996
288,Hard-to-easy,2,1,4,Open,1.0
289,Hard-to-easy,2,1,4,Conservative ,0.8714159999999996
290,Hard-to-easy,2,1,5,Open,1.0
291,Hard-to-easy,2,1,5,Conservative ,0.8716379999999995
292,Hard-to-easy,2,1,6,Open,1.0
293,Hard-to-easy,2,1,6,Conservative ,0.8616439999999996
294,Hard-to-easy,2,1,7,Open,1.0
295,Hard-to-easy,2,1,7,Conservative ,0.8706459999999996
296,Hard-to-easy,2,1,8,Open,1.0
297,Hard-to-easy,2,1,8,Conservative ,0.8663739999999995
298,Hard-to-easy,2,1,9,Open,1.0
299,Hard-to-easy,2,1,9,Conservative ,0.8603079999999995
300,Hard-to-easy,2,2,0,Open,1.0
301,Hard-to-easy,2,2,0,Conservative ,0.8581960000000002
302,Hard-to-easy,2,2,1,Open,1.0
303,Hard-to-easy,2,2,1,Conservative ,0.8625160000000003
304,Hard-to-easy,2,2,2,Open,1.0
305,Hard-to-easy,2,2,2,Conservative ,0.8583080000000001
306,Hard-to-easy,2,2,3,Open,1.0
307,Hard-to-easy,2,2,3,Conservative ,0.8721860000000002
308,Hard-to-easy,2,2,4,Open,1.0
309,Hard-to-easy,2,2,4,Conservative ,0.8562520000000002
310,Hard-to-easy,2,2,5,Open,1.0
311,Hard-to-easy,2,2,5,Conservative ,0.8646980000000002
312,Hard-to-easy,2,2,6,Open,1.0
313,Hard-to-easy,2,2,6,Conservative ,0.8738600000000002
314,Hard-to-easy,2,2,7,Open,1.0
315,Hard-to-easy,2,2,7,Conservative ,0.860228
316,Hard-to-easy,2,2,8,Open,1.0
317,Hard-to-easy,2,2,8,Conservative ,0.8610180000000001
318,Hard-to-easy,2,2,9,Open,1.0
319,Hard-to-easy,2,2,9,Conservative ,0.863624
320,Hard-to-easy,2,3,0,Open,1.0
321,Hard-to-easy,2,3,0,Conservative ,0.8479760000000001
322,Hard-to-easy,2,3,1,Open,1.0
323,Hard-to-easy,2,3,1,Conservative ,0.8561119999999999
324,Hard-to-easy,2,3,2,Open,1.0
325,Hard-to-easy,2,3,2,Conservative ,0.8527419999999999
326,Hard-to-easy,2,3,3,Open,1.0
327,Hard-to-easy,2,3,3,Conservative ,0.8498260000000001
328,Hard-to-easy,2,3,4,Open,1.0
329,Hard-to-easy,2,3,4,Conservative ,0.8520059999999999
330,Hard-to-easy,2,3,5,Open,1.0
331,Hard-to-easy,2,3,5,Conservative ,0.84466
332,Hard-to-easy,2,3,6,Open,1.0
333,Hard-to-easy,2,3,6,Conservative ,0.862004
334,Hard-to-easy,2,3,7,Open,1.0
335,Hard-to-easy,2,3,7,Conservative ,0.8528220000000001
336,Hard-to-easy,2,3,8,Open,1.0
337,Hard-to-easy,2,3,8,Conservative ,0.8597539999999999
338,Hard-to-easy,2,3,9,Open,1.0
339,Hard-to-easy,2,3,9,Conservative ,0.862004
340,Hard-to-easy,2,4,0,Open,1.0
341,Hard-to-easy,2,4,0,Conservative ,0.8208579999999993
342,Hard-to-easy,2,4,1,Open,1.0
343,Hard-to-easy,2,4,1,Conservative ,0.824257999999999
344,Hard-to-easy,2,4,2,Open,1.0
345,Hard-to-easy,2,4,2,Conservative ,0.8309939999999993
346,Hard-to-easy,2,4,3,Open,1.0
347,Hard-to-easy,2,4,3,Conservative ,0.8219579999999992
348,Hard-to-easy,2,4,4,Open,1.0
349,Hard-to-easy,2,4,4,Conservative ,0.8197159999999992
350,Hard-to-easy,2,4,5,Open,1.0
351,Hard-to-easy,2,4,5,Conservative ,0.8233559999999991
352,Hard-to-easy,2,4,6,Open,1.0
353,Hard-to-easy,2,4,6,Conservative ,0.8290859999999992
354,Hard-to-easy,2,4,7,Open,1.0
355,Hard-to-easy,2,4,7,Conservative ,0.8224779999999992
356,Hard-to-easy,2,4,8,Open,1.0
357,Hard-to-easy,2,4,8,Conservative ,0.8345819999999995
358,Hard-to-easy,2,4,9,Open,1.0
359,Hard-to-easy,2,4,9,Conservative ,0.8199539999999993
360,Hard-to-easy,2,5,0,Open,1.0
361,Hard-to-easy,2,5,0,Conservative ,0.787866
362,Hard-to-easy,2,5,1,Open,1.0
363,Hard-to-easy,2,5,1,Conservative ,0.78441
364,Hard-to-easy,2,5,2,Open,1.0
365,Hard-to-easy,2,5,2,Conservative ,0.7805719999999998
366,Hard-to-easy,2,5,3,Open,1.0
367,Hard-to-easy,2,5,3,Conservative ,0.7787979999999999
368,Hard-to-easy,2,5,4,Open,1.0
369,Hard-to-easy,2,5,4,Conservative ,0.781966
370,Hard-to-easy,2,5,5,Open,1.0
371,Hard-to-easy,2,5,5,Conservative ,0.7870139999999999
372,Hard-to-easy,2,5,6,Open,1.0
373,Hard-to-easy,2,5,6,Conservative ,0.783368
374,Hard-to-easy,2,5,7,Open,1.0
375,Hard-to-easy,2,5,7,Conservative ,0.7787079999999998
376,Hard-to-easy,2,5,8,Open,1.0
377,Hard-to-easy,2,5,8,Conservative ,0.783728
378,Hard-to-easy,2,5,9,Open,1.0
379,Hard-to-easy,2,5,9,Conservative ,0.783168
380,Hard-to-easy,2,6,0,Open,1.0
381,Hard-to-easy,2,6,0,Conservative ,0.7665459999999998
382,Hard-to-easy,2,6,1,Open,1.0
383,Hard-to-easy,2,6,1,Conservative ,0.7852039999999998
384,Hard-to-easy,2,6,2,Open,1.0
385,Hard-to-easy,2,6,2,Conservative ,0.7772199999999997
386,Hard-to-easy,2,6,3,Open,1.0
387,Hard-to-easy,2,6,3,Conservative ,0.7723039999999999
388,Hard-to-easy,2,6,4,Open,1.0
389,Hard-to-easy,2,6,4,Conservative ,0.7661499999999998
390,Hard-to-easy,2,6,5,Open,1.0
391,Hard-to-easy,2,6,5,Conservative ,0.7948639999999999
392,Hard-to-easy,2,6,6,Open,1.0
393,Hard-to-easy,2,6,6,Conservative ,0.7854279999999999
394,Hard-to-easy,2,6,7,Open,1.0
395,Hard-to-easy,2,6,7,Conservative ,0.7702919999999999
396,Hard-to-easy,2,6,8,Open,1.0
397,Hard-to-easy,2,6,8,Conservative ,0.7663979999999998
398,Hard-to-easy,2,6,9,Open,1.0
399,Hard-to-easy,2,6,9,Conservative ,0.7696579999999998
400,Hard-to-easy,2,7,0,Open,1.0
401,Hard-to-easy,2,7,0,Conservative ,0.7918579999999992
402,Hard-to-easy,2,7,1,Open,1.0
403,Hard-to-easy,2,7,1,Conservative ,0.7849579999999992
404,Hard-to-easy,2,7,2,Open,1.0
405,Hard-to-easy,2,7,2,Conservative ,0.7836919999999992
406,Hard-to-easy,2,7,3,Open,1.0
407,Hard-to-easy,2,7,3,Conservative ,0.7991239999999992
408,Hard-to-easy,2,7,4,Open,1.0
409,Hard-to-easy,2,7,4,Conservative ,0.8060159999999992
410,Hard-to-easy,2,7,5,Open,1.0
411,Hard-to-easy,2,7,5,Conservative ,0.7872739999999991
412,Hard-to-easy,2,7,6,Open,1.0
413,Hard-to-easy,2,7,6,Conservative ,0.7914239999999994
414,Hard-to-easy,2,7,7,Open,1.0
415,Hard-to-easy,2,7,7,Conservative ,0.7906199999999992
416,Hard-to-easy,2,7,8,Open,1.0
417,Hard-to-easy,2,7,8,Conservative ,0.7843859999999993
418,Hard-to-easy,2,7,9,Open,1.0
419,Hard-to-easy,2,7,9,Conservative ,0.7833299999999991
420,Hard-to-easy,2,8,0,Open,1.0
421,Hard-to-easy,2,8,0,Conservative ,0.777038
422,Hard-to-easy,2,8,1,Open,1.0
423,Hard-to-easy,2,8,1,Conservative ,0.7712880000000001
424,Hard-to-easy,2,8,2,Open,1.0
425,Hard-to-easy,2,8,2,Conservative ,0.7697360000000001
426,Hard-to-easy,2,8,3,Open,1.0
427,Hard-to-easy,2,8,3,Conservative ,0.7657860000000001
428,Hard-to-easy,2,8,4,Open,1.0
429,Hard-to-easy,2,8,4,Conservative ,0.7645800000000001
430,Hard-to-easy,2,8,5,Open,1.0
431,Hard-to-easy,2,8,5,Conservative ,0.7794580000000001
432,Hard-to-easy,2,8,6,Open,1.0
433,Hard-to-easy,2,8,6,Conservative ,0.772474
434,Hard-to-easy,2,8,7,Open,1.0
435,Hard-to-easy,2,8,7,Conservative ,0.7655740000000002
436,Hard-to-easy,2,8,8,Open,1.0
437,Hard-to-easy,2,8,8,Conservative ,0.76573
438,Hard-to-easy,2,8,9,Open,1.0
439,Hard-to-easy,2,8,9,Conservative ,0.768692
440,Hard-to-easy,2,9,0,Open,1.0
441,Hard-to-easy,2,9,0,Conservative ,0.8313300000000003
442,Hard-to-easy,2,9,1,Open,1.0
443,Hard-to-easy,2,9,1,Conservative ,0.8544600000000004
444,Hard-to-easy,2,9,2,Open,1.0
445,Hard-to-easy,2,9,2,Conservative ,0.8352980000000003
446,Hard-to-easy,2,9,3,Open,1.0
447,Hard-to-easy,2,9,3,Conservative ,0.8322480000000003
448,Hard-to-easy,2,9,4,Open,1.0
449,Hard-to-easy,2,9,4,Conservative ,0.8316640000000004
450,Hard-to-easy,2,9,5,Open,1.0
451,Hard-to-easy,2,9,5,Conservative ,0.8429620000000004
452,Hard-to-easy,2,9,6,Open,1.0
453,Hard-to-easy,2,9,6,Conservative ,0.8458700000000003
454,Hard-to-easy,2,9,7,Open,1.0
455,Hard-to-easy,2,9,7,Conservative ,0.8353120000000004
456,Hard-to-easy,2,9,8,Open,1.0
457,Hard-to-easy,2,9,8,Conservative ,0.8389440000000004
458,Hard-to-easy,2,9,9,Open,1.0
459,Hard-to-easy,2,9,9,Conservative ,0.8363940000000004
460,Hard-to-easy,2,10,0,Open,1.0
461,Hard-to-easy,2,10,0,Conservative ,0.8020120000000004
462,Hard-to-easy,2,10,1,Open,1.0
463,Hard-to-easy,2,10,1,Conservative ,0.7904300000000005
464,Hard-to-easy,2,10,2,Open,1.0
465,Hard-to-easy,2,10,2,Conservative ,0.7946840000000005
466,Hard-to-easy,2,10,3,Open,1.0
467,Hard-to-easy,2,10,3,Conservative ,0.7976160000000004
468,Hard-to-easy,2,10,4,Open,1.0
469,Hard-to-easy,2,10,4,Conservative ,0.7966140000000004
470,Hard-to-easy,2,10,5,Open,1.0
471,Hard-to-easy,2,10,5,Conservative ,0.7948900000000004
472,Hard-to-easy,2,10,6,Open,1.0
473,Hard-to-easy,2,10,6,Conservative ,0.8086080000000004
474,Hard-to-easy,2,10,7,Open,1.0
475,Hard-to-easy,2,10,7,Conservative ,0.7961840000000003
476,Hard-to-easy,2,10,8,Open,1.0
477,Hard-to-easy,2,10,8,Conservative ,0.7991940000000004
478,Hard-to-easy,2,10,9,Open,1.0
479,Hard-to-easy,2,10,9,Conservative ,0.7995160000000004
480,Hard-to-easy,2,11,0,Open,1.0
481,Hard-to-easy,2,11,0,Conservative ,0.9060240000000006
482,Hard-to-easy,2,11,1,Open,1.0
483,Hard-to-easy,2,11,1,Conservative ,0.9188500000000007
484,Hard-to-easy,2,11,2,Open,1.0
485,Hard-to-easy,2,11,2,Conservative ,0.9101180000000006
486,Hard-to-easy,2,11,3,Open,1.0
487,Hard-to-easy,2,11,3,Conservative ,0.9125760000000005
488,Hard-to-easy,2,11,4,Open,1.0
489,Hard-to-easy,2,11,4,Conservative ,0.9167360000000006
490,Hard-to-easy,2,11,5,Open,1.0
491,Hard-to-easy,2,11,5,Conservative ,0.9041860000000006
492,Hard-to-easy,2,11,6,Open,1.0
493,Hard-to-easy,2,11,6,Conservative ,0.9004980000000006
494,Hard-to-easy,2,11,7,Open,1.0
495,Hard-to-easy,2,11,7,Conservative ,0.9034540000000005
496,Hard-to-easy,2,11,8,Open,1.0
497,Hard-to-easy,2,11,8,Conservative ,0.9027440000000007
498,Hard-to-easy,2,11,9,Open,1.0
499,Hard-to-easy,2,11,9,Conservative ,0.9047680000000006
500,Hard-to-easy,2,12,0,Open,1.0
501,Hard-to-easy,2,12,0,Conservative ,0.8518180000000004
502,Hard-to-easy,2,12,1,Open,1.0
503,Hard-to-easy,2,12,1,Conservative ,0.8520740000000004
504,Hard-to-easy,2,12,2,Open,1.0
505,Hard-to-easy,2,12,2,Conservative ,0.8528460000000004
